transaction_id,property_id,tenant_id,lease_id,transaction_type,amount,expected_amount,transaction_date,due_date,status,payment_method,reference,fees,notes
TXN-001,PROP-001,TENANT-001,LEASE-001,Rent,45000,45000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-001-DEC,0,On-time payment
TXN-002,PROP-001,TENANT-002,LEASE-002,Rent,42000,42000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-002-DEC,0,On-time payment
TXN-003,PROP-001,TENANT-001,LEASE-001,Service Charge,3500,3500,2024-12-05,2024-12-05,Completed,Bank Transfer,REF-001-SC-DEC,0,Quarterly service charge
TXN-004,PROP-002,TENANT-003,LEASE-003,Rent,190000,190000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-003-DEC,0,On-time payment
TXN-005,PROP-002,TENANT-004,LEASE-004,Rent,95000,95000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-004-DEC,0,On-time payment
TXN-006,PROP-003,TENANT-005,LEASE-005,Rent,18000,18000,2024-12-03,2024-12-01,Completed,Bank Transfer,REF-005-DEC,45,2 days late
TXN-007,PROP-003,TENANT-006,LEASE-006,Rent,12000,12000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-006-DEC,0,On-time payment
TXN-008,PROP-004,TENANT-007,LEASE-007,Rent,162000,162000,2024-12-01,2024-12-01,Completed,Multiple,REF-007-DEC,0,Multiple tenant payments
TXN-009,PROP-005,TENANT-008,LEASE-008,Rent,38000,38000,2024-11-28,2024-12-01,Completed,Bank Transfer,REF-008-NOV,0,Early payment
TXN-010,PROP-005,TENANT-009,LEASE-009,Rent,28000,28000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-009-DEC,0,On-time payment
TXN-011,PROP-006,TENANT-010,LEASE-010,Rent,96000,96000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-010-DEC,0,On-time payment
TXN-012,PROP-007,TENANT-011,LEASE-011,Rent,20000,22000,2024-12-08,2024-12-01,Completed,Bank Transfer,REF-011-DEC,175,7 days late + amount mismatch
TXN-013,PROP-007,TENANT-012,LEASE-012,Rent,15000,15000,2024-12-10,2024-12-01,Completed,Bank Transfer,REF-012-DEC,225,9 days late
TXN-014,PROP-008,TENANT-013,LEASE-013,Rent,63000,63000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-013-DEC,0,On-time payment
TXN-015,PROP-008,TENANT-014,LEASE-014,Rent,54000,54000,2024-11-30,2024-12-01,Completed,Bank Transfer,REF-014-NOV,0,Early payment
TXN-016,PROP-009,TENANT-015,LEASE-015,Rent,185000,185000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-015-DEC,0,On-time payment
TXN-017,PROP-010,TENANT-016,LEASE-016,Rent,160000,160000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-016-DEC,0,On-time payment
TXN-018,PROP-010,TENANT-017,LEASE-017,Rent,106000,106000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-017-DEC,0,On-time payment
TXN-019,PROP-011,TENANT-018,LEASE-018,Rent,198000,198000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-018-DEC,0,On-time payment
TXN-020,PROP-012,TENANT-019,LEASE-019,Rent,28000,30000,2024-12-06,2024-12-01,Completed,Bank Transfer,REF-019-DEC,125,5 days late + amount mismatch
TXN-021,PROP-013,TENANT-020,LEASE-020,Rent,475000,475000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-020-DEC,0,On-time payment
TXN-022,PROP-014,TENANT-021,LEASE-021,Rent,280000,280000,2024-12-01,2024-12-01,Completed,Multiple,REF-021-DEC,0,Multiple tenant payments
TXN-023,PROP-015,TENANT-022,LEASE-022,Rent,125000,125000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-022-DEC,0,On-time payment
TXN-024,PROP-016,TENANT-023,LEASE-023,Rent,135000,135000,2024-12-01,2024-12-01,Completed,Multiple,REF-023-DEC,0,Multiple resident payments
TXN-025,PROP-017,TENANT-024,LEASE-024,Rent,68000,68000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-024-DEC,0,On-time payment
TXN-026,PROP-017,TENANT-025,LEASE-025,Rent,54000,54000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-025-DEC,0,On-time payment
TXN-027,PROP-018,TENANT-026,LEASE-026,Rent,82000,85000,2024-12-04,2024-12-01,Completed,Bank Transfer,REF-026-DEC,75,3 days late + amount mismatch
TXN-028,PROP-019,TENANT-027,LEASE-027,Rent,130000,130000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-027-DEC,0,On-time payment
TXN-029,PROP-019,TENANT-028,LEASE-028,Rent,78000,78000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-028-DEC,0,On-time payment
TXN-030,PROP-020,TENANT-029,LEASE-029,Rent,130000,130000,2024-12-01,2024-12-01,Completed,Multiple,REF-029-DEC,0,Multiple resident payments
TXN-031,PROP-020,TENANT-030,LEASE-030,Rent,86000,86000,2024-12-01,2024-12-01,Completed,Multiple,REF-030-DEC,0,Multiple resident payments
TXN-032,PROP-001,TENANT-001,LEASE-001,Utilities,2200,2200,2024-12-10,2024-12-10,Completed,Bank Transfer,UTIL-001-DEC,0,Electricity and water
TXN-033,PROP-002,TENANT-003,LEASE-003,Utilities,8500,8500,2024-12-10,2024-12-10,Completed,Bank Transfer,UTIL-003-DEC,0,Electricity and water
TXN-034,PROP-003,TENANT-005,LEASE-005,Service Charge,1500,1500,2024-12-15,2024-12-15,Completed,Bank Transfer,SC-005-DEC,0,Monthly service charge
TXN-035,PROP-007,TENANT-011,LEASE-011,Utilities,800,800,2024-12-20,2024-12-15,Pending,Bank Transfer,UTIL-011-DEC,125,5 days late
TXN-036,PROP-007,TENANT-012,LEASE-012,Service Charge,1200,1200,2024-12-22,2024-12-15,Pending,Bank Transfer,SC-012-DEC,175,7 days late
TXN-037,PROP-012,TENANT-019,LEASE-019,Utilities,1100,1100,2024-12-18,2024-12-15,Pending,Bank Transfer,UTIL-019-DEC,75,3 days late
TXN-038,PROP-018,TENANT-026,LEASE-026,Service Charge,3500,3500,2024-12-20,2024-12-15,Pending,Bank Transfer,SC-026-DEC,125,5 days late
TXN-039,PROP-001,TENANT-001,LEASE-001,Rent,45000,45000,2025-01-01,2025-01-01,Pending,Bank Transfer,REF-001-JAN,0,January payment due
TXN-040,PROP-001,TENANT-002,LEASE-002,Rent,42000,42000,2025-01-01,2025-01-01,Pending,Bank Transfer,REF-002-JAN,0,January payment due
TXN-041,PROP-002,TENANT-003,LEASE-003,Rent,190000,190000,2025-01-01,2025-01-01,Pending,Bank Transfer,REF-003-JAN,0,January payment due
TXN-042,PROP-002,TENANT-004,LEASE-004,Rent,95000,95000,2025-01-01,2025-01-01,Pending,Bank Transfer,REF-004-JAN,0,January payment due
TXN-043,PROP-003,TENANT-005,LEASE-005,Rent,18000,18000,2025-01-01,2025-01-01,Pending,Bank Transfer,REF-005-JAN,0,January payment due
TXN-044,PROP-003,TENANT-006,LEASE-006,Rent,12000,12000,2025-01-01,2025-01-01,Pending,Bank Transfer,REF-006-JAN,0,January payment due
TXN-045,PROP-007,TENANT-011,LEASE-011,Rent,22000,22000,2025-01-01,2025-01-01,Pending,Bank Transfer,REF-011-JAN,0,January payment due
TXN-046,PROP-007,TENANT-012,LEASE-012,Rent,15000,15000,2025-01-01,2025-01-01,Pending,Bank Transfer,REF-012-JAN,0,January payment due
TXN-047,PROP-012,TENANT-019,LEASE-019,Rent,30000,30000,2025-01-01,2025-01-01,Pending,Bank Transfer,REF-019-JAN,0,January payment due
TXN-048,PROP-018,TENANT-026,LEASE-026,Rent,85000,85000,2025-01-01,2025-01-01,Pending,Bank Transfer,REF-026-JAN,0,January payment due
TXN-049,PROP-003,UNKNOWN,LEASE-005,Rent,15000,18000,2024-11-15,2024-11-01,Completed,Cash,CASH-001,0,Unreconciled - tenant unclear
TXN-050,PROP-007,UNKNOWN,LEASE-011,Service Charge,1800,2000,2024-11-20,2024-11-15,Completed,Cash,CASH-002,0,Unreconciled - amount mismatch
TXN-051,PROP-012,UNKNOWN,LEASE-019,Utilities,950,1100,2024-11-25,2024-11-20,Completed,Bank Transfer,UNK-003,0,Unreconciled - no lease match
TXN-052,PROP-018,UNKNOWN,LEASE-026,Rent,80000,85000,2024-11-28,2024-11-01,Completed,Bank Transfer,UNK-004,0,Unreconciled - amount variance
TXN-053,PROP-007,TENANT-011,LEASE-011,Deposit Adjustment,2000,2000,2024-10-15,2024-10-15,Completed,Bank Transfer,DEP-011-OCT,0,Partial deposit return
TXN-054,PROP-012,TENANT-019,LEASE-019,Maintenance,3500,3500,2024-10-20,2024-10-20,Completed,Bank Transfer,MAINT-019-OCT,0,Tenant reimbursement
TXN-055,PROP-001,TENANT-001,LEASE-001,Rent,45000,45000,2024-11-01,2024-11-01,Completed,Bank Transfer,REF-001-NOV,0,On-time payment
TXN-056,PROP-001,TENANT-002,LEASE-002,Rent,42000,42000,2024-11-01,2024-11-01,Completed,Bank Transfer,REF-002-NOV,0,On-time payment
TXN-057,PROP-002,TENANT-003,LEASE-003,Rent,190000,190000,2024-11-01,2024-11-01,Completed,Bank Transfer,REF-003-NOV,0,On-time payment
TXN-058,PROP-002,TENANT-004,LEASE-004,Rent,95000,95000,2024-11-01,2024-11-01,Completed,Bank Transfer,REF-004-NOV,0,On-time payment
TXN-059,PROP-003,TENANT-005,LEASE-005,Rent,18000,18000,2024-11-04,2024-11-01,Completed,Bank Transfer,REF-005-NOV,75,3 days late
TXN-060,PROP-003,TENANT-006,LEASE-006,Rent,12000,12000,2024-11-01,2024-11-01,Completed,Bank Transfer,REF-006-NOV,0,On-time payment
TXN-061,PROP-004,TENANT-007,LEASE-007,Rent,162000,162000,2024-11-01,2024-11-01,Completed,Multiple,REF-007-NOV,0,Multiple tenant payments
TXN-062,PROP-005,TENANT-008,LEASE-008,Rent,38000,38000,2024-10-30,2024-11-01,Completed,Bank Transfer,REF-008-OCT,0,Early payment
TXN-063,PROP-005,TENANT-009,LEASE-009,Rent,28000,28000,2024-11-01,2024-11-01,Completed,Bank Transfer,REF-009-NOV,0,On-time payment
TXN-064,PROP-006,TENANT-010,LEASE-010,Rent,96000,96000,2024-11-01,2024-11-01,Completed,Bank Transfer,REF-010-NOV,0,On-time payment
TXN-065,PROP-007,TENANT-011,LEASE-011,Rent,19500,22000,2024-11-09,2024-11-01,Completed,Bank Transfer,REF-011-NOV,200,8 days late + amount mismatch
TXN-066,PROP-007,TENANT-012,LEASE-012,Rent,15000,15000,2024-11-11,2024-11-01,Completed,Bank Transfer,REF-012-NOV,250,10 days late
TXN-067,PROP-008,TENANT-013,LEASE-013,Rent,63000,63000,2024-11-01,2024-11-01,Completed,Bank Transfer,REF-013-NOV,0,On-time payment
TXN-068,PROP-008,TENANT-014,LEASE-014,Rent,54000,54000,2024-11-01,2024-11-01,Completed,Bank Transfer,REF-014-NOV,0,On-time payment
TXN-069,PROP-009,TENANT-015,LEASE-015,Rent,185000,185000,2024-11-01,2024-11-01,Completed,Bank Transfer,REF-015-NOV,0,On-time payment
TXN-070,PROP-010,TENANT-016,LEASE-016,Rent,160000,160000,2024-11-01,2024-11-01,Completed,Bank Transfer,REF-016-NOV,0,On-time payment
TXN-071,PROP-010,TENANT-017,LEASE-017,Rent,106000,106000,2024-11-01,2024-11-01,Completed,Bank Transfer,REF-017-NOV,0,On-time payment
TXN-072,PROP-011,TENANT-018,LEASE-018,Rent,198000,198000,2024-11-01,2024-11-01,Completed,Bank Transfer,REF-018-NOV,0,On-time payment
TXN-073,PROP-012,TENANT-019,LEASE-019,Rent,27500,30000,2024-11-07,2024-11-01,Completed,Bank Transfer,REF-019-NOV,150,6 days late + amount mismatch
TXN-074,PROP-013,TENANT-020,LEASE-020,Rent,475000,475000,2024-11-01,2024-11-01,Completed,Bank Transfer,REF-020-NOV,0,On-time payment
TXN-075,PROP-014,TENANT-021,LEASE-021,Rent,280000,280000,2024-11-01,2024-11-01,Completed,Multiple,REF-021-NOV,0,Multiple tenant payments
TXN-076,PROP-015,TENANT-022,LEASE-022,Rent,125000,125000,2024-11-01,2024-11-01,Completed,Bank Transfer,REF-022-NOV,0,On-time payment
TXN-077,PROP-016,TENANT-023,LEASE-023,Rent,135000,135000,2024-11-01,2024-11-01,Completed,Multiple,REF-023-NOV,0,Multiple resident payments
TXN-078,PROP-017,TENANT-024,LEASE-024,Rent,68000,68000,2024-11-01,2024-11-01,Completed,Bank Transfer,REF-024-NOV,0,On-time payment
TXN-079,PROP-017,TENANT-025,LEASE-025,Rent,54000,54000,2024-11-01,2024-11-01,Completed,Bank Transfer,REF-025-NOV,0,On-time payment
TXN-080,PROP-018,TENANT-026,LEASE-026,Rent,83000,85000,2024-11-05,2024-11-01,Completed,Bank Transfer,REF-026-NOV,100,4 days late + amount mismatch
TXN-081,PROP-019,TENANT-027,LEASE-027,Rent,130000,130000,2024-11-01,2024-11-01,Completed,Bank Transfer,REF-027-NOV,0,On-time payment
TXN-082,PROP-019,TENANT-028,LEASE-028,Rent,78000,78000,2024-11-01,2024-11-01,Completed,Bank Transfer,REF-028-NOV,0,On-time payment
TXN-083,PROP-020,TENANT-029,LEASE-029,Rent,130000,130000,2024-11-01,2024-11-01,Completed,Multiple,REF-029-NOV,0,Multiple resident payments
TXN-084,PROP-020,TENANT-030,LEASE-030,Rent,86000,86000,2024-11-01,2024-11-01,Completed,Multiple,REF-030-NOV,0,Multiple resident payments
TXN-085,PROP-001,TENANT-001,LEASE-001,Rent,45000,45000,2024-10-01,2024-10-01,Completed,Bank Transfer,REF-001-OCT,0,On-time payment
TXN-086,PROP-002,TENANT-003,LEASE-003,Rent,190000,190000,2024-10-01,2024-10-01,Completed,Bank Transfer,REF-003-OCT,0,On-time payment
TXN-087,PROP-006,TENANT-010,LEASE-010,Rent,96000,96000,2024-10-01,2024-10-01,Completed,Bank Transfer,REF-010-OCT,0,On-time payment
TXN-088,PROP-010,TENANT-016,LEASE-016,Rent,160000,160000,2024-10-01,2024-10-01,Completed,Bank Transfer,REF-016-OCT,0,On-time payment
TXN-089,PROP-013,TENANT-020,LEASE-020,Rent,475000,475000,2024-10-01,2024-10-01,Completed,Bank Transfer,REF-020-OCT,0,On-time payment
TXN-090,PROP-015,TENANT-022,LEASE-022,Rent,125000,125000,2024-10-01,2024-10-01,Completed,Bank Transfer,REF-022-OCT,0,On-time payment
TXN-091,PROP-007,TENANT-011,LEASE-011,Rent,21000,22000,2024-10-10,2024-10-01,Completed,Bank Transfer,REF-011-OCT,225,9 days late + amount mismatch
TXN-092,PROP-007,TENANT-012,LEASE-012,Rent,15000,15000,2024-10-12,2024-10-01,Completed,Bank Transfer,REF-012-OCT,275,11 days late
TXN-093,PROP-012,TENANT-019,LEASE-019,Rent,29000,30000,2024-10-08,2024-10-01,Completed,Bank Transfer,REF-019-OCT,175,7 days late + amount mismatch
TXN-094,PROP-018,TENANT-026,LEASE-026,Rent,84000,85000,2024-10-06,2024-10-01,Completed,Bank Transfer,REF-026-OCT,125,5 days late + amount mismatch
TXN-095,PROP-003,UNKNOWN,UNKNOWN,Deposit,5000,5000,2024-10-15,2024-10-15,Completed,Bank Transfer,DEP-UNK-001,0,Unreconciled - no lease match
TXN-096,PROP-007,UNKNOWN,UNKNOWN,Miscellaneous,3200,0,2024-10-20,2024-10-20,Completed,Cash,MISC-UNK-002,0,Unreconciled - purpose unclear
TXN-097,PROP-012,UNKNOWN,UNKNOWN,Refund,1500,0,2024-10-25,2024-10-25,Completed,Bank Transfer,REF-UNK-003,0,Unreconciled - no matching charge
TXN-098,PROP-018,UNKNOWN,UNKNOWN,Maintenance,2800,0,2024-10-28,2024-10-28,Completed,Bank Transfer,MAINT-UNK-004,0,Unreconciled - no authorization
TXN-099,PROP-001,TENANT-002,LEASE-002,Service Charge,3200,3500,2024-11-05,2024-11-05,Completed,Bank Transfer,SC-002-NOV,0,Amount variance - under expected
TXN-100,PROP-010,TENANT-017,LEASE-017,Utilities,4500,4500,2024-11-10,2024-11-10,Completed,Bank Transfer,UTIL-017-NOV,0,On-time payment
TXN-101,PROP-013,TENANT-020,LEASE-020,Service Charge,15000,15000,2024-11-15,2024-11-15,Completed,Bank Transfer,SC-020-NOV,0,Quarterly service charge
TXN-102,PROP-015,TENANT-022,LEASE-022,Utilities,6800,6800,2024-11-20,2024-11-20,Completed,Bank Transfer,UTIL-022-NOV,0,Data centre power
TXN-103,PROP-007,TENANT-011,LEASE-011,Maintenance,1200,0,2024-12-01,2024-12-01,Completed,Bank Transfer,MAINT-011-DEC,0,Emergency repair reimbursement
TXN-104,PROP-012,TENANT-019,LEASE-019,Insurance,850,850,2024-12-05,2024-12-05,Completed,Bank Transfer,INS-019-DEC,0,Monthly insurance premium
TXN-105,PROP-018,TENANT-026,LEASE-026,Parking,1200,1200,2024-12-10,2024-12-10,Completed,Bank Transfer,PARK-026-DEC,0,Monthly parking fees

